Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;6;18;Femenino;39;Guayas;Casado;Financiar sus estudios;Educacion Basica;Secundaria;1800;4;0;Cedida;Casa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Femenino;27;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;1100;5;0;Propia;Casa;Si;Si;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;26;Guayas;Soltero;Financiar sus estudios;Educacion Media;Superior Universitaria;900;5;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;26;Guayas;Soltero;Financiar sus estudios;Educacion Media;Superior Universitaria;900;5;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;6;0;12;Masculino;23;Guayas;Soltero;No aplica;Secundaria;Superior Universitaria;400;3;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;0
6;6;6;18;Femenino;21;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;400;3;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;1
6;6;6;18;Femenino;32;Guayas;Casado;Para mantener a su hogar;Secundaria;Secundaria;700;7;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;23;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;1000;3;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;1
6;6;6;18;Femenino;39;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;1800;12;0;Propia;Villa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;24;Guayas;Soltero;Financiar sus estudios;Secundaria;Educacion Basica;600;5;0;Propia;Casa;No;Si;Si;Si;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
